,Country,Currency_type,Sectors,Year,Amount
144,Austria,USD (2020 prices and exchange rates),Energy efficiency,2013,0.0
145,Austria,USD (2020 prices and exchange rates),Energy efficiency,2014,0.0
146,Austria,USD (2020 prices and exchange rates),Energy efficiency,2015,0.0
147,Austria,USD (2020 prices and exchange rates),Energy efficiency,2016,0.0
148,Austria,USD (2020 prices and exchange rates),Energy efficiency,2017,0.0
149,Austria,USD (2020 prices and exchange rates),Energy efficiency,2018,0.0
150,Austria,USD (2020 prices and exchange rates),Energy efficiency,2019,0.0
151,Austria,USD (2020 prices and exchange rates),Energy efficiency,2020,0.0
152,Austria,USD (2020 prices and exchange rates),Fossil fuels,2013,0.0
153,Austria,USD (2020 prices and exchange rates),Fossil fuels,2014,0.0
154,Austria,USD (2020 prices and exchange rates),Fossil fuels,2015,0.0
155,Austria,USD (2020 prices and exchange rates),Fossil fuels,2016,0.0
156,Austria,USD (2020 prices and exchange rates),Fossil fuels,2017,0.0
157,Austria,USD (2020 prices and exchange rates),Fossil fuels,2018,0.0
158,Austria,USD (2020 prices and exchange rates),Fossil fuels,2019,0.0
159,Austria,USD (2020 prices and exchange rates),Fossil fuels,2020,0.0
160,Austria,USD (2020 prices and exchange rates),Renewables,2013,0.0
161,Austria,USD (2020 prices and exchange rates),Renewables,2014,0.0
162,Austria,USD (2020 prices and exchange rates),Renewables,2015,0.0
163,Austria,USD (2020 prices and exchange rates),Renewables,2016,0.0
164,Austria,USD (2020 prices and exchange rates),Renewables,2017,0.0
165,Austria,USD (2020 prices and exchange rates),Renewables,2018,0.0
166,Austria,USD (2020 prices and exchange rates),Renewables,2019,0.0
167,Austria,USD (2020 prices and exchange rates),Renewables,2020,0.0
168,Austria,USD (2020 prices and exchange rates),Nuclear,2013,0.0
169,Austria,USD (2020 prices and exchange rates),Nuclear,2014,0.0
170,Austria,USD (2020 prices and exchange rates),Nuclear,2015,0.0
171,Austria,USD (2020 prices and exchange rates),Nuclear,2016,0.0
172,Austria,USD (2020 prices and exchange rates),Nuclear,2017,0.0
173,Austria,USD (2020 prices and exchange rates),Nuclear,2018,0.0
174,Austria,USD (2020 prices and exchange rates),Nuclear,2019,0.0
175,Austria,USD (2020 prices and exchange rates),Nuclear,2020,0.0
176,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2013,0.0
177,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2014,0.0
178,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2015,0.0
179,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2016,0.0
180,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2017,0.0
181,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2018,0.0
182,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2019,0.0
183,Austria,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2020,0.0
184,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2013,0.0
185,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2014,0.0
186,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2015,0.0
187,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2016,0.0
188,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2017,0.0
189,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2018,0.0
190,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2019,0.0
191,Austria,USD (2020 prices and exchange rates),Other power and storage technologies,2020,0.0
192,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2013,0.0
193,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2014,0.0
194,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2015,0.0
195,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2016,0.0
196,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2017,0.0
197,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2018,0.0
198,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2019,0.0
199,Austria,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2020,0.0
200,Austria,USD (2020 prices and exchange rates),Unallocated,2013,0.0
201,Austria,USD (2020 prices and exchange rates),Unallocated,2014,0.0
202,Austria,USD (2020 prices and exchange rates),Unallocated,2015,593.821
203,Austria,USD (2020 prices and exchange rates),Unallocated,2016,0.0
204,Austria,USD (2020 prices and exchange rates),Unallocated,2017,811.878
205,Austria,USD (2020 prices and exchange rates),Unallocated,2018,0.0
206,Austria,USD (2020 prices and exchange rates),Unallocated,2019,0.0
207,Austria,USD (2020 prices and exchange rates),Unallocated,2020,0.0
208,Austria,USD (2020 prices and exchange rates),Total Budget,2013,0.0
209,Austria,USD (2020 prices and exchange rates),Total Budget,2014,0.0
210,Austria,USD (2020 prices and exchange rates),Total Budget,2015,593.821
211,Austria,USD (2020 prices and exchange rates),Total Budget,2016,0.0
212,Austria,USD (2020 prices and exchange rates),Total Budget,2017,811.878
213,Austria,USD (2020 prices and exchange rates),Total Budget,2018,0.0
214,Austria,USD (2020 prices and exchange rates),Total Budget,2019,0.0
215,Austria,USD (2020 prices and exchange rates),Total Budget,2020,0.0
504,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2013,0.0
505,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2014,0.0
506,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2015,5.708
507,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2016,3.974
508,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2017,6.869
509,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2018,8.444
510,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2019,10.85
511,Czech Republic,USD (2020 prices and exchange rates),Energy efficiency,2020,11.436
512,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2013,0.0
513,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2014,0.0
514,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2015,4.227
515,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2016,3.782
516,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2017,3.903
517,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2018,3.578
518,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2019,3.308
519,Czech Republic,USD (2020 prices and exchange rates),Fossil fuels,2020,1.628
520,Czech Republic,USD (2020 prices and exchange rates),Renewables,2013,0.0
521,Czech Republic,USD (2020 prices and exchange rates),Renewables,2014,0.0
522,Czech Republic,USD (2020 prices and exchange rates),Renewables,2015,5.162
523,Czech Republic,USD (2020 prices and exchange rates),Renewables,2016,4.077
524,Czech Republic,USD (2020 prices and exchange rates),Renewables,2017,4.144
525,Czech Republic,USD (2020 prices and exchange rates),Renewables,2018,3.921
526,Czech Republic,USD (2020 prices and exchange rates),Renewables,2019,4.476
527,Czech Republic,USD (2020 prices and exchange rates),Renewables,2020,5.398
528,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2013,0.0
529,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2014,0.0
530,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2015,18.907
531,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2016,6.205
532,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2017,10.414
533,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2018,10.509
534,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2019,11.299
535,Czech Republic,USD (2020 prices and exchange rates),Nuclear,2020,10.792
536,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2013,0.0
537,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2014,0.0
538,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2015,0.309
539,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2016,1.026
540,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2017,1.519
541,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2018,1.022
542,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2019,7.442
543,Czech Republic,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2020,3.465
544,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2013,0.0
545,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2014,0.0
546,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2015,4.79
547,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2016,3.728
548,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2017,3.583
549,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2018,4.229
550,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2019,7.052
551,Czech Republic,USD (2020 prices and exchange rates),Other power and storage technologies,2020,6.752
552,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2013,0.0
553,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2014,0.0
554,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2015,5.262
555,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2016,2.583
556,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2017,2.499
557,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2018,2.578
558,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2019,2.921
559,Czech Republic,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2020,3.229
560,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2013,0.0
561,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2014,0.0
562,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2015,0.0
563,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2016,0.0
564,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2017,0.0
565,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2018,0.0
566,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2019,0.0
567,Czech Republic,USD (2020 prices and exchange rates),Unallocated,2020,0.0
568,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2013,0.0
569,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2014,0.0
570,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2015,44.365
571,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2016,25.375
572,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2017,32.931
573,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2018,34.281
574,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2019,47.35
575,Czech Republic,USD (2020 prices and exchange rates),Total Budget,2020,42.702
864,Italy,USD (2020 prices and exchange rates),Energy efficiency,2013,207.893
865,Italy,USD (2020 prices and exchange rates),Energy efficiency,2014,262.851
866,Italy,USD (2020 prices and exchange rates),Energy efficiency,2015,900.388
867,Italy,USD (2020 prices and exchange rates),Energy efficiency,2016,951.638
868,Italy,USD (2020 prices and exchange rates),Energy efficiency,2017,961.54
869,Italy,USD (2020 prices and exchange rates),Energy efficiency,2018,978.919
870,Italy,USD (2020 prices and exchange rates),Energy efficiency,2019,0.0
871,Italy,USD (2020 prices and exchange rates),Energy efficiency,2020,0.0
872,Italy,USD (2020 prices and exchange rates),Fossil fuels,2013,34.4
873,Italy,USD (2020 prices and exchange rates),Fossil fuels,2014,23.598
874,Italy,USD (2020 prices and exchange rates),Fossil fuels,2015,166.113
875,Italy,USD (2020 prices and exchange rates),Fossil fuels,2016,122.407
876,Italy,USD (2020 prices and exchange rates),Fossil fuels,2017,123.68
877,Italy,USD (2020 prices and exchange rates),Fossil fuels,2018,125.916
878,Italy,USD (2020 prices and exchange rates),Fossil fuels,2019,0.0
879,Italy,USD (2020 prices and exchange rates),Fossil fuels,2020,0.0
880,Italy,USD (2020 prices and exchange rates),Renewables,2013,48.591
881,Italy,USD (2020 prices and exchange rates),Renewables,2014,82.825
882,Italy,USD (2020 prices and exchange rates),Renewables,2015,98.236
883,Italy,USD (2020 prices and exchange rates),Renewables,2016,71.785
884,Italy,USD (2020 prices and exchange rates),Renewables,2017,72.532
885,Italy,USD (2020 prices and exchange rates),Renewables,2018,73.843
886,Italy,USD (2020 prices and exchange rates),Renewables,2019,0.0
887,Italy,USD (2020 prices and exchange rates),Renewables,2020,0.0
888,Italy,USD (2020 prices and exchange rates),Nuclear,2013,3.286
889,Italy,USD (2020 prices and exchange rates),Nuclear,2014,1.476
890,Italy,USD (2020 prices and exchange rates),Nuclear,2015,2.998
891,Italy,USD (2020 prices and exchange rates),Nuclear,2016,2.784
892,Italy,USD (2020 prices and exchange rates),Nuclear,2017,2.812
893,Italy,USD (2020 prices and exchange rates),Nuclear,2018,2.863
894,Italy,USD (2020 prices and exchange rates),Nuclear,2019,0.0
895,Italy,USD (2020 prices and exchange rates),Nuclear,2020,0.0
896,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2013,10.836
897,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2014,9.385
898,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2015,8.246
899,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2016,12.72
900,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2017,12.852
901,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2018,13.084
902,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2019,0.0
903,Italy,USD (2020 prices and exchange rates),Hydrogen and fuel cells,2020,0.0
904,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2013,30.573
905,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2014,32.276
906,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2015,50.702
907,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2016,70.038
908,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2017,70.765
909,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2018,72.046
910,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2019,0.0
911,Italy,USD (2020 prices and exchange rates),Other power and storage technologies,2020,0.0
912,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2013,37.446
913,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2014,33.768
914,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2015,22.039
915,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2016,49.436
916,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2017,49.951
917,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2018,50.853
918,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2019,0.0
919,Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2020,0.0
920,Italy,USD (2020 prices and exchange rates),Unallocated,2013,0.0
921,Italy,USD (2020 prices and exchange rates),Unallocated,2014,0.0
922,Italy,USD (2020 prices and exchange rates),Unallocated,2015,0.0
923,Italy,USD (2020 prices and exchange rates),Unallocated,2016,0.0
924,Italy,USD (2020 prices and exchange rates),Unallocated,2017,0.0
925,Italy,USD (2020 prices and exchange rates),Unallocated,2018,0.0
926,Italy,USD (2020 prices and exchange rates),Unallocated,2019,0.0
927,Italy,USD (2020 prices and exchange rates),Unallocated,2020,0.0
928,Italy,USD (2020 prices and exchange rates),Total Budget,2013,373.026
929,Italy,USD (2020 prices and exchange rates),Total Budget,2014,446.178
930,Italy,USD (2020 prices and exchange rates),Total Budget,2015,1248.797
931,Italy,USD (2020 prices and exchange rates),Total Budget,2016,1280.806
932,Italy,USD (2020 prices and exchange rates),Total Budget,2017,1294.132
933,Italy,USD (2020 prices and exchange rates),Total Budget,2018,1317.524
934,Italy,USD (2020 prices and exchange rates),Total Budget,2019,0.0
935,Italy,USD (2020 prices and exchange rates),Total Budget,2020,0.0
